zipcode,returns,income,mean_income
28513,4020,174022000,43289.05473
27046,820,35478000,43265.85366
28792,13860,599441000,43249.7114
28553,220,9514000,43245.45455
28098,1830,79054000,43198.9071
28425,4260,183957000,43182.39437
28670,1100,47480000,43163.63636
27054,1180,50911000,43144.91525
28778,4720,203589000,43133.26271
28574,7060,303929000,43049.43343
28714,6180,265565000,42971.68285
27544,1780,76431000,42938.76404
28631,240,10287000,42862.5
28436,890,38137000,42850.5618
28698,840,35976000,42828.57143
28033,1270,54310000,42763.77953
27884,610,26027000,42667.21311
27299,2120,90339000,42612.73585
28777,3640,155070000,42601.64835
28663,260,11074000,42592.30769
28376,16440,700197000,42591.05839
27011,2360,100447000,42562.28814
28645,18070,769068000,42560.487
28723,2870,122141000,42557.83972
27263,9370,398513000,42530.73639
27212,660,28029000,42468.18182
28546,20100,852688000,42422.28856
27986,480,20270000,42229.16667
27829,740,31225000,42195.94595
28623,680,28636000,42111.76471
28551,5580,234975000,42110.21505
27862,330,13867000,42021.21212
28090,2970,124591000,41949.83165
28304,16340,683978000,41859.11873
27947,440,18412000,41845.45455
27830,1900,79488000,41835.78947
27885,400,16715000,41787.5
27870,11220,468763000,41779.23351
28152,9820,410105000,41762.21996
27910,4470,186500000,41722.59508
28806,20220,843256000,41704.05539
27807,2970,123842000,41697.6431
28390,9180,382680000,41686.27451
27344,7580,315200000,41583.11346
27834,22120,919298000,41559.58409
27892,6060,251590000,41516.50165
28906,7610,315691000,41483.70565
28611,300,12423000,41410
28328,10420,431251000,41386.85221
28705,2370,97917000,41315.18987
28713,3780,156024000,41276.19048
28472,7240,298800000,41270.71823
28320,3100,127935000,41269.35484
27851,2230,92013000,41261.43498
28314,24970,1029241000,41219.10292
28373,1080,44502000,41205.55556
27882,3180,131020000,41201.25786
28352,8770,361096000,41174.00228
28638,5320,218995000,41164.47368
27923,330,13582000,41157.57576
27509,1820,74775000,41085.16484
28515,840,34484000,41052.38095
27248,1900,77990000,41047.36842
28763,1070,43855000,40985.98131
28585,1600,65545000,40965.625
27970,1370,56020000,40890.51095
28365,6580,269003000,40881.91489
28789,2540,103772000,40855.11811
28020,970,39617000,40842.26804
28432,750,30619000,40825.33333
28521,920,37530000,40793.47826
28612,4460,181857000,40775.11211
28511,250,10187000,40748
27288,9210,374970000,40713.35505
28528,270,10986000,40688.88889
28637,1120,45481000,40608.03571
28433,1770,71873000,40606.21469
28719,4190,170059000,40586.87351
27818,510,20689000,40566.66667
27845,740,30011000,40555.40541
28636,2160,87585000,40548.61111
27557,3290,133278000,40510.0304
28174,3440,139167000,40455.52326
27965,260,10516000,40446.15385
28341,1770,71574000,40437.28814
27355,1130,45681000,40425.66372
28518,3260,131784000,40424.53988
27341,2230,90065000,40387.89238
28526,920,37156000,40386.95652
27820,1120,45191000,40349.10714
28762,2990,120527000,40310.03344
28371,2930,117967000,40261.77474
28675,2530,101812000,40241.89723
28525,1370,55110000,40226.27737
28456,1550,62342000,40220.64516
28344,1200,48240000,40200
27855,2170,87172000,40171.42857
27942,330,13244000,40133.33333
28040,2890,115945000,40119.37716
27406,26280,1053664000,40093.75951
28396,1110,44467000,40060.36036
28358,13500,540112000,40008.2963
27379,1890,75380000,39883.59788
28624,630,25120000,39873.01587
27553,940,37467000,39858.51064
28016,5480,217955000,39772.81022
28043,7810,310392000,39742.89373
28702,180,7150000,39722.22222
28586,2900,115149000,39706.55172
28771,3100,122947000,39660.32258
28555,2240,88832000,39657.14286
27027,1720,68127000,39608.72093
28580,4130,163305000,39541.16223
28455,730,28803000,39456.16438
28606,830,32711000,39410.84337
28392,700,27580000,39400
27816,1150,45304000,39394.78261
27886,8640,340274000,39383.56481
28114,2530,99623000,39376.67984
28382,2910,114508000,39349.82818
28401,9820,386373000,39345.51935
27875,180,7078000,39322.22222
27537,9700,381052000,39283.71134
28634,2130,83527000,39214.55399
27924,1170,45881000,39214.52991
28215,26290,1030929000,39213.73146
28423,850,33271000,39142.35294
28743,790,30904000,39118.98734
27890,940,36714000,39057.44681
27983,3440,134346000,39054.06977
28379,9740,380161000,39030.90349
28435,1050,40881000,38934.28571
28649,360,14002000,38894.44444
27356,1150,44695000,38865.21739
28683,700,27170000,38814.28571
27305,650,25221000,38801.53846
28478,1840,71371000,38788.58696
28083,10670,413845000,38785.84817
28740,840,32577000,38782.14286
28685,740,28651000,38717.56757
27576,6890,266710000,38709.72424
28135,1450,56108000,38695.17241
28901,2030,78523000,38681.28079
28454,1250,48348000,38678.4
27024,970,37458000,38616.49485
28783,520,20037000,38532.69231
